Time,x-coordinate,y-coordinate,temperature
4,1.00E-02,-6.00E-03,4.00E+02
4,-1.00E-02,-4.00E-03,4.00E+02
4,-8.00E-03,-4.00E-03,4.00E+02
4,-6.00E-03,-4.00E-03,4.00E+02
4,-4.00E-03,-4.00E-03,4.00E+02
4,-2.00E-03,-4.00E-03,4.00E+02
4,0.00E+00,-4.00E-03,4.00E+02
4,2.00E-03,-4.00E-03,4.00E+02
4,4.00E-03,-4.00E-03,4.00E+02
4,6.00E-03,-4.00E-03,4.00E+02
4,8.00E-03,-4.00E-03,4.00E+02
4,1.00E-02,-4.00E-03,4.00E+02
4,-1.00E-02,-2.00E-03,4.00E+02
4,-8.00E-03,-2.00E-03,4.00E+02
4,-6.00E-03,-2.00E-03,4.00E+02
4,-4.00E-03,-2.00E-03,4.00E+02
4,-2.00E-03,-2.00E-03,4.00E+02
4,0.00E+00,-2.00E-03,4.00E+02
4,2.00E-03,-2.00E-03,4.00E+02
4,4.00E-03,-2.00E-03,4.00E+02
4,6.00E-03,-2.00E-03,4.00E+02
4,8.00E-03,-2.00E-03,4.00E+02
4,1.00E-02,-2.00E-03,4.00E+02
4,-1.00E-02,0.00E+00,4.00E+02
4,-8.00E-03,0.00E+00,4.00E+02
4,-6.00E-03,0.00E+00,4.00E+02
4,-4.00E-03,0.00E+00,4.00E+02
4,-2.00E-03,0.00E+00,4.00E+02
4,0.00E+00,0.00E+00,4.00E+02
4,2.00E-03,0.00E+00,4.00E+02
4,4.00E-03,0.00E+00,4.00E+02
4,6.00E-03,0.00E+00,4.00E+02
4,8.00E-03,0.00E+00,4.00E+02
4,1.00E-02,0.00E+00,4.00E+02
4,-1.00E-02,2.00E-03,4.00E+02
4,-8.00E-03,2.00E-03,4.00E+02
4,-6.00E-03,2.00E-03,4.00E+02
4,-4.00E-03,2.00E-03,4.00E+02
4,-2.00E-03,2.00E-03,4.00E+02
4,0.00E+00,2.00E-03,4.00E+02
4,2.00E-03,2.00E-03,4.00E+02
4,4.00E-03,2.00E-03,4.00E+02
4,6.00E-03,2.00E-03,4.00E+02
4,8.00E-03,2.00E-03,4.00E+02
4,1.00E-02,2.00E-03,4.00E+02
4,-1.00E-02,4.00E-03,4.00E+02
4,-8.00E-03,4.00E-03,4.00E+02
4,-6.00E-03,4.00E-03,4.00E+02
4,-4.00E-03,4.00E-03,4.00E+02
4,-2.00E-03,4.00E-03,4.00E+02
4,0.00E+00,4.00E-03,4.00E+02
4,2.00E-03,4.00E-03,4.00E+02
4,4.00E-03,4.00E-03,4.00E+02
4,6.00E-03,4.00E-03,4.00E+02
4,8.00E-03,4.00E-03,4.00E+02
4,1.00E-02,4.00E-03,4.00E+02
4,-1.00E-02,6.00E-03,4.00E+02
4,-8.00E-03,6.00E-03,4.00E+02
4,-6.00E-03,6.00E-03,4.00E+02
4,-4.00E-03,6.00E-03,4.00E+02
4,-2.00E-03,6.00E-03,4.00E+02
4,0.00E+00,6.00E-03,4.00E+02
4,2.00E-03,6.00E-03,4.00E+02
